question,right answer,wrong a,wrong b
Whales are edit the first one,Mammals,Fish,Reptiles
Cataceans lack this organ,Gall Bladder,Lung,Kidney
The largest animal on earth is,Blue Whale,Humpback Whale,Elephant
The second largest animal on earth is,Fin Whale,Giraffe,Elephant
Moby Dick was,Sperm Whale,Pilot Whale,Jam Band
Which of the cetaceans have the shortest adult length,Dwarf Sperm Whale,Bottle Nose Dolphin,Risso's Dolphin
Which of these is extinct,Basilosaurus,Humpback Whale,Mesoplodon
Whales were / are primaily hunted for,Oil,Leather,Baleen
The behavior of a whale jumping out of the water is,Breaching,Chuffing,Surfing
Baleen whales feed by,Filtering their food from seawater,Using suction to feed on seagrass,Ordering take-out
Why did we launch a program to recycle fishing line,To prevent sealife from becoming entangled,It makes great decorations,It can be untangled and reused
Bonehenge is,A non-profit organization,A for profit enterprise,A fishing compitition
In order to get our whale bones we,Bury the whale for several years,Wait for them to decompose on the beach,Employ a team of surgeons to extract the bones
Bonhenge was primarily funded by,Contributions from hundreds of doners and volunteers,A huge Federal grant,A lucky lottery ticket
We call the process of putting a whale skeleton back together,Rearticulation,Solving a jig saw puzzle,Skeletal reinactment
